,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Quantity,,,Comercial,,,,Current Date in Cell to the right,,,11-Dec-15,Contact,,
S/N,KAM,Company,New Account,Region,Segment,Vertical,Sub-Vertical, Product , Mobile Plans ,Sales Stage,Capacity, Unit , QTY , NRC , Unit MRC , Total MRC , ARC , Date Identified (mm/dd/yy) , Date Closed (mm/dd/yy) , Duration if Closed , Number of Days in Pipeline (Ageing) ,Name,Phone no,Email address
714,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
715,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
716,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
717,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
718,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
719,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
720,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
721,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
722,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
723,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
724,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
725,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
726,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
727,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
728,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
729,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
730,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
731,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
732,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
733,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
734,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
735,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
736,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
737,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
738,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
739,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
740,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
741,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
742,,,,,,,,,,,,,,,,0.00,0.00,,,0,42349,,,
